recid;black;alcohol;drugs;married;felon;educ;rules;age
0;1;0;0;0;0;8;0;244
0;0;0;0;0;0;9;0;253
0;1;1;0;0;0;9;0;253
0;1;0;0;1;0;10;0;357
1;1;0;1;1;0;8;1;314
1;0;1;0;0;0;11;0;344
0;0;0;0;1;1;8;0;349
0;0;0;0;0;0;12;1;369
1;1;0;1;0;0;9;2;243
0;0;1;0;0;0;5;0;625
1;0;0;0;1;0;8;1;279
1;1;1;0;0;0;11;2;277
0;1;0;0;0;0;11;1;311
0;1;0;0;0;0;7;3;373
0;1;1;1;0;0;8;0;281
1;0;1;1;0;0;12;0;332
0;0;0;0;0;1;8;0;622
1;1;1;0;0;0;7;0;636
1;0;0;1;0;0;12;1;342
1;0;1;0;1;0;6;0;575
0;0;0;0;0;0;7;0;215
1;0;0;0;0;1;9;3;265
0;0;0;1;0;1;10;0;508
0;1;0;0;0;0;10;0;208
0;1;0;0;0;0;9;0;210
0;1;0;0;0;1;12;0;276
0;1;0;0;0;0;11;1;512
1;0;1;0;0;0;3;0;566
0;0;0;1;1;0;11;0;503
0;1;0;0;0;0;10;1;275
0;1;0;0;0;1;11;0;256
0;1;1;0;1;1;11;0;418
0;1;0;0;0;0;12;1;289
0;1;0;0;0;0;7;0;361
1;0;0;0;0;1;9;1;276
0;1;0;1;0;0;10;0;498
0;0;0;0;1;0;9;0;299
0;0;0;0;0;0;12;0;483
0;0;1;0;0;0;10;0;225
0;0;0;0;1;0;8;1;274
0;0;0;0;1;1;8;2;260
0;1;0;1;0;0;8;1;303
0;0;1;1;0;0;9;0;553
0;0;0;1;0;1;10;1;361
0;0;0;1;0;0;6;0;432
1;1;0;1;1;1;5;0;409
1;0;0;0;0;0;8;0;254
1;1;0;0;0;1;9;0;325
0;0;0;0;0;0;10;0;241
0;0;1;0;0;0;12;0;348
0;1;1;0;1;0;10;0;364
1;1;0;0;0;1;9;7;266
1;0;0;0;0;0;12;0;420
1;1;0;0;0;1;9;14;209
0;0;0;1;0;0;10;2;398
0;0;0;0;0;0;10;0;237
1;1;0;0;1;0;11;0;349
0;0;1;1;0;0;6;0;355
0;1;0;0;0;1;9;0;274
1;1;0;0;0;1;6;4;383
0;0;0;0;1;0;15;0;474
0;0;0;0;0;0;12;0;269
0;1;0;0;0;0;9;4;250
1;1;0;0;0;0;9;3;244
1;1;0;0;1;0;11;0;470
1;0;0;0;0;0;9;0;213
0;0;1;0;0;0;12;2;299
0;0;1;0;0;0;2;0;734
0;0;0;0;0;0;8;3;284
0;1;0;0;0;0;10;0;487
0;0;0;0;0;1;12;0;303
0;1;0;0;0;1;5;0;382
0;1;0;0;0;1;11;1;268
0;0;0;0;0;0;9;2;214
0;0;0;1;0;1;12;0;549
0;1;0;0;0;0;14;1;257
0;0;0;0;0;0;11;0;292
0;1;0;1;0;1;12;0;341
1;1;1;0;0;0;3;0;663
0;0;1;1;0;0;8;0;245
0;0;0;0;0;0;3;0;499
1;0;1;0;0;0;9;1;601
0;0;1;0;1;0;8;0;370
0;1;0;0;1;1;12;1;366
1;1;0;0;0;0;10;0;286
0;1;0;0;0;0;8;0;322
0;1;0;0;0;0;11;0;246
0;0;0;0;0;0;9;2;247
0;0;0;0;0;0;9;0;220
1;0;1;0;1;0;7;0;509
1;1;0;0;1;0;12;0;334
1;0;0;0;0;0;12;1;301
0;1;1;1;1;1;10;0;422
1;0;0;0;1;1;9;0;251
1;0;0;0;1;0;4;1;430
0;0;0;0;0;1;11;3;323
0;1;1;1;0;0;12;0;438
0;0;0;0;1;1;11;1;259
0;1;0;0;0;1;10;1;287
0;0;1;0;0;1;9;1;433
0;0;0;1;0;0;9;0;353
0;0;0;0;1;0;9;3;247
0;0;1;0;0;0;7;0;576
0;0;1;1;0;0;12;0;397
1;1;0;0;0;0;14;7;317
0;1;0;0;0;1;12;3;216
0;1;0;1;0;1;12;0;451
0;0;0;0;0;0;12;0;273
1;0;1;0;0;0;10;0;217
0;1;1;0;1;0;9;0;508
1;1;0;0;0;0;10;0;272
0;0;1;0;0;0;8;0;692
0;0;0;0;1;1;9;0;426
0;1;0;0;0;0;11;0;228
1;1;0;1;1;0;10;1;293
0;1;0;1;1;0;7;0;670
0;0;0;0;0;0;9;0;241
1;0;0;0;0;0;12;0;321
1;0;0;0;0;0;9;1;203
0;0;1;0;1;0;12;0;336
1;1;0;0;0;0;11;1;283
1;0;0;1;1;0;7;0;544
0;0;0;0;0;0;13;3;289
1;0;0;1;0;0;12;1;406
0;1;0;0;0;1;12;1;278
0;1;0;0;0;0;10;0;249
1;1;0;0;1;1;12;0;324
1;0;1;0;0;0;7;1;420
1;1;0;0;0;0;10;5;250
1;0;1;0;1;0;12;0;539
0;0;0;0;0;1;6;0;591
0;0;0;0;0;1;12;0;488
1;0;0;1;0;0;12;0;349
0;0;0;0;0;0;12;1;285
0;1;0;0;1;0;12;3;287
1;1;0;0;1;0;12;1;349
1;1;0;0;1;1;10;0;311
1;1;0;0;0;0;11;0;244
1;1;0;0;0;0;10;0;349
0;0;0;1;1;0;12;0;611
0;1;0;0;0;1;8;0;271
0;1;1;0;1;0;3;0;542
0;1;0;0;0;0;9;0;436
1;0;1;1;0;0;8;0;220
0;0;1;0;0;0;6;0;697
1;1;0;1;0;0;15;1;501
0;0;0;1;0;0;9;0;374
1;1;0;0;0;1;9;2;278
1;1;0;0;0;1;11;0;309
1;0;0;0;0;1;12;3;283
1;0;0;0;0;0;9;1;216
0;0;0;0;0;0;10;0;214
1;1;1;0;0;0;10;0;599
1;0;0;0;0;0;8;0;229
1;0;0;1;0;0;6;0;638
0;0;0;1;1;0;10;2;527
0;1;0;0;0;1;12;1;291
1;0;0;0;0;1;12;6;278
1;0;0;0;0;0;8;8;237
0;1;0;1;1;0;13;0;318
1;0;0;0;0;1;8;0;261
0;1;0;0;0;0;8;0;212
0;0;0;0;0;1;8;0;275
1;0;0;0;0;1;10;4;245
0;0;0;0;0;0;10;1;247
1;1;1;1;1;0;6;1;572
1;1;0;0;0;1;3;11;361
0;0;1;0;0;0;6;0;398
0;0;0;0;1;0;10;1;288
0;0;0;0;0;0;12;0;255
0;0;0;0;1;0;16;0;520
0;1;1;0;1;0;8;0;439
1;0;0;1;1;0;9;0;262
0;0;0;0;0;1;8;2;259
0;0;0;0;1;0;14;0;341
0;0;0;0;1;0;12;0;362
1;0;0;0;0;0;12;0;397
1;1;0;0;1;0;12;1;303
1;0;1;0;1;0;10;0;234
1;1;0;0;1;0;9;0;537
0;0;0;1;1;0;7;0;532
0;0;0;0;0;0;12;0;624
1;0;1;0;1;0;10;1;228
1;1;0;0;0;1;10;4;267
1;1;0;0;0;0;11;0;294
1;1;0;1;0;0;10;1;260
0;0;0;0;1;0;8;0;452
0;0;0;0;0;0;10;0;203
0;0;0;0;1;0;12;0;304
1;0;1;0;1;0;10;0;516
0;0;1;1;0;0;10;1;219
0;1;0;0;1;0;3;0;606
0;1;0;0;0;1;8;3;248
0;1;0;0;1;0;6;0;442
0;1;0;0;0;1;11;0;238
0;0;1;1;0;1;9;7;279
1;0;0;1;1;0;10;1;578
1;1;0;1;0;0;8;0;325
0;0;1;0;0;0;8;0;608
0;0;0;0;1;1;8;0;278
1;1;1;1;0;0;9;3;300
0;0;0;0;0;1;8;0;243
1;1;0;0;0;0;12;1;385
1;1;1;0;0;0;11;2;270
0;1;0;0;1;0;7;0;311
0;0;1;0;0;0;10;0;646
0;0;1;0;0;0;12;0;393
1;1;0;1;0;1;11;2;267
0;0;1;0;1;0;8;1;245
0;0;0;0;0;0;11;0;207
0;0;1;0;0;0;10;1;262
0;0;1;1;0;0;10;1;246
0;1;0;0;0;0;11;0;252
1;1;0;0;0;0;11;1;322
1;0;0;0;0;1;10;7;268
1;0;0;1;0;0;6;0;429
1;1;0;0;1;1;9;2;295
1;0;0;0;0;0;11;0;354
1;0;1;1;0;1;10;0;235
0;0;0;1;0;0;8;7;248
0;1;0;0;0;0;12;0;326
0;1;0;0;0;0;11;0;231
0;0;1;1;1;0;11;5;352
0;0;1;1;0;0;8;0;244
0;0;0;0;0;1;13;1;294
0;0;1;1;0;1;1;1;614
0;1;0;0;1;1;7;0;697
1;1;0;0;0;0;11;1;304
0;1;0;0;0;1;12;1;424
0;1;0;1;0;0;10;1;266
0;0;0;0;0;0;9;0;204
0;1;1;0;1;0;11;0;310
0;0;0;1;1;1;3;0;587
0;0;0;0;0;1;10;4;315
1;0;1;0;1;0;9;2;240
0;0;0;1;0;1;8;1;235
0;0;0;0;1;0;10;0;278
0;1;0;1;0;0;7;2;296
1;0;0;0;0;0;9;0;252
0;0;0;0;0;1;8;4;279
1;1;1;0;0;0;11;3;306
1;0;0;0;1;1;12;0;317
0;1;0;0;0;0;11;0;219
1;1;0;0;0;0;9;6;266
1;1;0;1;0;1;11;1;323
0;0;1;0;0;0;9;0;242
1;1;0;0;1;0;6;1;582
1;1;1;0;0;1;10;7;299
0;0;0;0;0;0;8;1;230
1;0;0;1;0;0;10;1;239
1;1;0;0;0;0;11;0;260
1;1;0;0;0;1;11;1;258
0;1;0;0;1;0;8;1;337
0;0;0;0;1;1;9;0;415
1;0;0;1;0;0;12;0;236
0;1;0;0;0;0;8;0;306
1;1;0;1;0;0;8;0;237
0;1;0;0;0;1;9;0;253
1;0;1;0;0;0;8;0;311
1;1;0;0;0;0;10;3;308
0;0;0;1;0;0;10;0;315
1;1;1;0;0;0;10;0;213
0;1;1;0;0;0;9;0;707
1;0;0;0;0;0;11;1;262
0;1;0;0;1;1;6;0;312
0;1;0;1;0;0;11;1;335
0;0;0;0;0;0;3;0;860
1;0;0;0;0;1;9;4;311
1;1;0;0;0;0;12;2;363
0;1;0;0;0;1;5;1;262
0;0;0;1;1;0;8;1;403
1;0;0;1;0;0;8;1;263
0;1;1;1;0;0;10;0;313
0;0;0;0;1;0;12;1;275
1;0;0;1;0;0;10;4;227
1;0;0;0;1;1;9;3;284
0;0;1;1;1;1;9;0;392
1;1;0;1;1;1;10;4;401
0;1;0;0;0;0;7;0;284
1;1;0;1;0;0;8;0;591
0;0;0;1;0;0;9;0;230
0;1;0;0;0;1;4;1;488
0;1;1;0;0;0;12;1;454
0;1;0;0;0;1;12;0;350
1;1;0;0;0;0;10;1;222
1;0;0;1;0;0;9;1;259
1;1;0;0;0;0;9;0;238
1;0;1;0;0;0;9;3;240
1;1;0;0;1;0;11;0;563
0;0;0;0;0;0;13;1;413
0;1;0;0;0;0;10;1;223
1;0;1;1;0;0;9;0;259
0;1;0;0;0;1;12;2;253
0;1;0;0;1;0;12;0;310
0;1;0;1;0;0;3;0;631
0;0;0;1;0;0;4;0;786
1;0;1;0;1;1;9;7;309
1;0;1;0;0;0;9;0;236
1;0;0;0;0;0;7;3;244
1;0;0;1;0;0;10;0;208
0;1;0;0;0;1;13;0;369
1;0;0;1;0;0;10;1;255
0;0;1;0;1;0;9;0;258
0;1;0;0;0;1;11;21;258
0;0;0;1;0;0;7;0;407
1;0;0;1;1;1;5;1;439
0;0;1;0;1;0;9;0;570
1;1;0;0;0;1;11;0;307
1;0;0;1;0;0;10;1;257
0;0;0;1;0;1;12;1;304
0;0;0;0;1;1;11;7;310
1;0;0;1;0;0;8;1;499
1;1;0;0;0;0;10;1;327
0;0;1;1;0;0;8;0;633
1;1;1;0;1;0;11;0;330
0;0;0;1;0;0;9;0;332
0;1;0;0;1;1;14;0;372
0;0;0;0;0;0;10;9;248
0;0;1;0;1;0;9;0;444
1;0;1;0;0;0;12;0;424
0;0;0;0;1;0;12;0;568
0;1;1;0;1;0;6;1;305
1;0;1;1;0;0;12;0;313
1;1;1;0;1;1;11;0;371
1;1;0;1;0;0;9;0;427
0;0;0;0;0;1;12;1;344
0;1;0;0;0;0;14;1;297
0;1;0;0;0;1;12;1;315
1;0;0;0;0;0;9;10;314
1;0;1;0;0;0;10;0;216
1;1;0;0;0;1;9;4;294
0;0;0;0;0;1;9;12;276
1;0;1;0;0;0;5;0;457
0;0;0;0;0;0;10;1;297
1;0;0;0;0;0;8;1;236
0;1;0;0;0;0;11;2;272
0;0;0;0;0;0;12;0;247
0;0;1;0;0;0;6;0;768
1;0;1;1;0;1;9;3;416
0;0;0;1;0;0;8;4;362
1;1;0;0;0;0;10;6;279
0;0;0;0;0;0;9;0;209
1;0;1;0;0;0;10;0;281
0;0;0;0;1;0;4;1;536
1;1;0;0;1;0;12;2;340
1;0;0;0;0;0;15;3;554
0;0;0;0;1;1;8;0;318
0;1;0;0;0;1;10;2;341
1;1;0;0;0;0;8;1;245
0;1;0;0;1;1;8;3;322
0;0;0;0;0;1;10;0;240
0;1;0;0;1;0;6;0;509
1;1;0;0;0;1;11;1;424
0;0;0;0;0;1;8;0;251
1;0;0;0;1;1;10;2;588
0;0;0;0;1;1;11;1;481
1;1;1;1;1;0;14;1;762
0;1;0;0;1;1;12;0;342
0;1;0;0;0;0;12;1;302
1;0;0;0;0;0;6;0;387
1;1;0;0;0;1;10;1;249
0;1;0;0;0;0;14;1;319
0;1;0;0;1;0;10;0;365
0;1;1;0;0;0;10;1;486
0;0;1;0;1;0;3;0;698
0;0;0;0;0;1;4;9;531
1;1;1;1;0;1;10;3;257
1;1;0;0;1;0;9;0;398
0;0;1;0;0;0;9;1;359
0;0;0;0;0;1;9;1;267
0;1;1;0;0;0;12;2;313
0;0;0;0;1;1;10;0;400
1;0;0;0;0;0;12;2;285
0;1;1;0;0;0;10;0;249
0;1;0;0;0;1;10;1;341
1;0;0;0;0;0;10;0;254
1;1;0;0;0;0;12;0;259
0;1;0;0;0;0;10;0;232
1;0;1;0;0;0;4;0;633
0;1;0;0;0;0;12;1;262
0;0;0;0;1;1;11;3;354
0;1;0;0;0;0;11;0;268
1;1;0;0;0;0;10;1;270
0;1;0;0;0;1;9;2;259
0;1;0;1;0;1;10;3;319
0;1;1;0;0;0;10;0;430
1;0;0;1;0;0;9;1;231
1;1;0;0;0;1;12;10;240
0;0;0;0;1;0;12;0;340
0;1;0;0;1;0;9;0;432
0;0;0;0;0;0;9;1;222
0;0;0;0;1;1;7;1;563
0;1;0;0;0;1;7;0;308
1;1;1;0;0;1;10;0;508
1;0;1;1;0;0;14;1;358
0;0;0;0;0;1;14;0;251
0;0;0;1;0;1;11;2;271
0;0;1;0;1;1;13;0;351
0;0;0;1;0;0;8;0;680
0;0;0;1;1;0;8;1;353
1;1;1;0;0;0;15;0;618
0;0;0;1;1;1;9;0;242
1;0;0;1;0;0;10;0;365
0;0;0;0;0;0;8;0;212
1;1;0;0;0;1;10;2;256
0;0;0;1;1;0;8;0;315
0;1;0;1;0;0;9;2;256
0;0;0;1;0;0;9;27;274
0;1;0;0;1;0;11;0;422
0;0;0;0;0;0;12;0;261
1;0;0;0;1;0;8;0;365
0;1;0;0;0;0;12;0;241
1;1;0;1;0;0;9;0;247
0;0;0;1;0;0;12;1;258
0;0;1;1;0;0;11;3;276
1;1;0;0;0;0;12;1;321
0;0;0;0;0;0;12;0;239
0;0;0;0;0;0;12;0;324
0;1;0;0;0;1;8;0;368
0;0;0;0;0;0;16;0;335
0;0;0;0;1;1;11;0;376
0;0;0;0;0;0;9;0;296
1;1;0;0;0;1;11;0;237
0;0;0;0;0;0;8;0;209
0;0;0;0;0;0;8;0;806
0;0;0;0;1;0;10;0;308
0;1;0;0;0;0;6;0;355
0;1;0;0;0;0;9;0;253
0;1;0;0;0;0;10;1;329
1;1;0;0;0;1;10;3;373
0;0;0;0;1;1;9;1;336
0;0;0;0;1;0;7;0;321
0;1;0;0;0;1;11;1;331
0;1;0;0;0;1;10;4;249
1;0;1;0;1;0;12;0;571
1;0;1;0;0;0;12;0;368
1;0;0;1;0;1;11;1;320
0;0;1;0;0;0;9;1;263
1;0;1;0;1;0;8;0;301
0;1;1;0;0;0;8;1;280
0;1;0;1;0;0;14;4;320
0;0;0;0;0;0;12;0;241
0;1;0;0;0;1;9;0;239
0;0;0;0;1;1;11;0;279
0;1;0;1;0;0;8;2;471
0;1;0;1;1;0;9;2;493
1;0;0;1;0;0;8;5;288
0;1;1;0;1;1;10;0;335
1;1;1;0;0;0;12;0;389
1;1;0;0;0;1;12;0;423
1;0;0;0;1;0;8;2;282
0;0;0;0;1;0;9;1;259
1;1;0;0;0;0;11;0;237
0;0;0;0;1;0;12;1;249
1;0;0;0;0;1;8;3;238
1;0;1;0;0;0;8;0;294
0;0;0;0;0;0;11;2;274
0;0;0;0;0;1;8;0;251
1;0;1;1;0;0;9;0;380
0;0;0;0;1;1;10;0;310
1;1;0;1;0;0;10;5;294
0;0;1;0;0;1;14;4;295
0;1;0;0;0;1;8;0;302
0;0;1;0;0;1;11;4;349
0;0;1;0;0;0;8;1;376
0;0;0;0;0;1;8;2;462
1;0;0;0;0;1;8;3;238
0;0;0;0;0;1;12;2;387
0;0;0;0;1;1;9;1;314
1;0;1;1;1;1;9;0;364
1;1;1;0;0;0;9;0;512
0;0;0;0;0;1;4;2;264
0;0;1;0;0;0;10;0;282
1;0;0;0;0;0;7;0;338
1;0;0;0;0;0;9;0;234
1;1;0;0;0;1;9;0;247
1;1;1;0;1;0;9;1;283
0;0;0;1;0;0;11;0;255
0;1;1;0;0;1;9;3;273
0;1;0;0;1;0;12;0;288
0;0;0;0;0;0;9;1;309
0;1;0;0;0;0;11;0;378
1;1;1;1;0;0;10;0;226
0;0;1;0;0;0;18;0;473
1;1;0;0;0;1;12;1;257
0;0;1;0;1;0;14;0;423
0;1;0;0;0;1;10;0;276
1;1;0;0;0;0;14;0;327
0;1;0;1;0;1;9;0;637
1;0;0;1;0;0;12;0;720
0;0;1;0;0;0;12;0;304
0;0;0;1;1;0;3;1;477
0;1;0;1;1;0;10;0;305
0;1;0;0;0;0;12;3;308
1;1;0;0;0;0;7;0;477
0;1;0;0;0;0;13;1;263
1;1;0;1;0;1;8;0;243
0;0;0;0;0;1;12;2;276
0;0;0;1;0;1;8;2;470
0;1;0;0;0;0;11;0;216
0;1;0;1;0;1;12;0;302
1;1;0;0;0;0;11;0;245
0;1;0;0;1;1;8;0;266
0;1;0;0;0;1;8;0;353
1;0;1;1;0;0;12;4;365
0;0;1;1;0;1;11;5;323
0;0;0;1;0;0;12;1;330
0;1;0;1;1;0;6;0;499
1;1;1;0;0;1;12;5;384
0;1;0;1;1;0;5;1;313
0;1;1;0;0;0;12;0;487
1;0;1;0;0;0;10;1;353
1;1;0;1;0;0;10;1;293
0;1;0;1;0;1;10;5;277
0;0;0;0;1;1;7;0;685
0;1;0;0;0;0;11;0;283
0;0;0;0;0;1;13;0;286
0;1;0;0;0;1;10;1;253
0;1;0;0;0;0;10;0;248
1;1;0;0;0;0;11;0;315
1;1;0;1;0;0;9;1;304
0;0;0;0;0;0;7;4;285
0;0;1;0;1;0;9;2;299
0;1;0;0;1;1;10;7;322
0;1;0;0;0;0;11;0;215
0;0;0;0;0;0;11;0;290
0;0;0;0;1;1;7;0;296
0;1;0;0;0;0;10;1;278
1;1;0;0;0;0;7;7;235
0;1;0;1;0;0;10;2;280
1;1;0;1;0;1;9;5;279
0;1;1;0;1;1;7;1;333
0;0;0;0;0;1;8;3;260
0;1;0;1;0;0;18;0;528
1;1;0;0;0;1;8;1;250
1;1;1;0;1;0;11;0;406
0;0;0;1;0;1;7;10;263
1;1;0;0;0;0;10;1;230
0;0;0;1;0;0;7;0;430
0;1;0;0;0;0;9;0;423
0;1;0;0;1;1;12;0;348
0;0;0;0;0;0;9;0;232
1;0;0;1;0;1;13;0;349
1;1;0;0;0;1;15;0;335
1;1;0;0;1;0;12;0;318
1;0;1;0;1;0;11;3;311
0;1;0;1;0;1;11;3;309
0;1;0;1;1;0;8;0;323
0;0;1;0;0;0;7;0;383
0;0;1;0;1;0;9;1;302
1;1;0;0;0;0;8;0;227
0;0;1;0;0;0;7;0;234
0;1;0;0;0;0;8;1;327
1;1;0;1;1;1;12;1;490
1;1;0;0;0;0;10;1;261
1;0;0;0;0;1;9;3;248
0;0;0;0;0;0;10;0;243
0;0;1;0;0;0;10;0;258
0;0;0;1;1;1;6;3;450
1;1;0;0;0;1;9;2;306
0;1;0;0;0;1;12;1;265
0;0;0;1;0;0;10;1;232
1;1;0;1;0;1;11;2;362
1;0;0;0;1;0;9;7;279
0;0;0;0;1;0;9;0;248
0;0;0;1;0;0;9;0;326
1;0;0;1;0;1;8;0;691
0;1;0;0;0;0;12;1;323
1;0;0;0;1;0;7;2;386
1;0;0;0;0;0;12;1;295
0;0;0;0;1;1;11;0;243
0;0;1;0;1;1;10;16;380
1;0;0;1;0;0;14;0;279
1;1;0;0;0;1;11;3;266
1;1;0;0;0;1;9;4;254
0;1;0;0;0;1;18;0;434
0;0;0;0;0;1;7;0;467
0;0;0;1;1;1;4;4;578
1;0;0;1;0;1;6;6;436
0;1;0;0;0;0;9;2;246
1;1;0;0;0;1;9;2;325
0;1;0;0;0;1;11;7;393
0;0;0;0;0;0;8;1;232
1;1;1;0;0;0;10;1;248
1;0;0;1;0;0;10;6;228
0;0;0;0;0;0;12;1;330
0;0;1;1;0;0;7;0;335
1;1;1;0;1;0;12;1;321
1;0;1;0;0;0;8;3;433
0;1;1;0;0;0;2;0;426
0;0;1;0;0;0;6;1;550
0;0;0;0;0;1;8;0;421
0;0;0;0;1;1;10;2;463
0;0;0;0;0;0;4;0;347
1;1;0;0;0;1;9;7;335
0;1;0;0;1;1;14;1;372
0;1;0;0;0;0;9;0;229
0;0;0;0;1;1;12;3;327
0;0;0;1;0;0;6;0;270
1;0;1;0;0;0;9;0;402
1;0;1;1;1;1;8;13;294
1;0;1;0;0;0;9;0;268
1;1;0;0;0;0;11;0;232
0;1;0;0;0;1;12;0;264
0;0;0;0;0;0;12;0;304
1;1;0;0;0;1;8;1;256
0;1;1;0;0;0;12;0;477
1;1;0;0;0;0;12;0;276
0;0;0;0;0;0;10;0;244
1;0;0;1;0;0;8;2;241
0;0;0;0;0;0;8;0;350
0;1;0;0;0;0;10;0;250
0;1;0;0;0;0;10;6;285
0;0;0;0;0;0;9;0;271
1;1;0;0;0;1;10;0;295
0;0;0;1;0;0;14;1;610
1;1;0;0;1;1;10;0;475
1;0;1;0;0;1;12;2;422
1;0;0;0;0;1;8;3;252
0;0;0;1;0;1;12;1;269
0;0;0;0;0;1;9;3;287
1;1;0;0;0;0;10;0;267
0;0;0;1;0;0;10;0;223
0;0;0;1;0;0;11;0;247
0;1;0;0;0;0;11;2;322
0;0;0;0;1;0;9;0;270
1;0;0;1;0;0;9;4;259
0;1;0;0;0;1;11;1;246
1;1;1;0;1;0;12;0;461
1;0;0;0;0;1;12;1;620
1;1;0;0;1;0;11;2;402
0;1;0;0;0;0;10;0;273
0;0;1;1;1;0;12;0;717
0;0;0;0;0;0;10;0;261
1;0;0;0;0;1;13;2;339
1;1;0;1;0;0;9;1;328
1;1;0;0;0;0;6;0;476
0;0;0;0;0;0;4;0;593
0;1;0;0;1;0;10;2;353
0;0;0;1;0;0;12;0;241
0;0;1;1;0;0;13;0;496
1;1;0;0;1;1;14;1;398
1;1;0;0;0;0;9;0;204
0;1;0;0;0;0;12;0;251
0;0;0;1;1;0;11;1;297
0;0;0;0;1;0;10;2;327
0;0;0;1;1;0;12;1;278
0;0;0;0;0;0;12;3;250
1;0;1;1;1;0;9;1;260
0;0;1;1;0;0;12;0;408
1;0;0;0;0;0;9;0;229
1;1;0;0;0;1;12;5;250
0;1;0;0;0;0;11;0;235
0;1;0;0;0;0;9;0;239
1;1;0;1;0;1;9;0;467
0;0;0;1;0;0;7;1;508
0;0;0;0;0;1;14;3;387
0;1;0;0;0;1;13;1;271
1;0;1;0;0;0;10;0;484
0;0;0;0;1;0;7;0;799
1;1;0;1;0;0;7;0;253
1;0;0;1;0;0;8;2;240
0;1;1;0;0;1;8;0;313
1;1;0;0;0;1;12;0;343
1;1;0;0;0;0;11;0;222
0;0;1;0;0;0;13;0;314
0;0;0;1;1;0;7;0;338
1;1;0;0;0;1;8;3;292
0;0;0;0;0;0;7;1;288
1;1;0;0;0;1;10;1;406
0;0;0;1;0;0;12;0;246
0;1;0;0;1;0;9;0;334
0;1;0;0;0;0;12;0;290
0;1;0;0;0;0;10;0;412
0;0;0;0;0;0;6;1;359
0;0;0;0;0;0;9;1;261
1;0;1;0;0;1;7;0;584
